method,split,family,density,outcome,manifest_episode_count,valid_episode_count,excluded_episode_count,scenario_count,seed_count,outcome_count,outcome_rate,rate_denominator,episode_duration_s_mean,navigation_time_s_mean,spl_mean,path_length_m_mean,min_human_distance_m_mean,personal_space_violation_ratio_mean,discomfort_time_s_mean,emergency_stop_count_mean,recovery_trigger_count_mean,recovery_success_rate_mean,recovery_duration_s_mean,intervention_ratio_mean,mean_abs_angular_jerk_rad_s3_mean
base,test,temporary_blockage,medium,GOAL_REACHED,5,5,0,5,5,2,0.4,valid_episodes,75.57435,75.57435,0.9803159608869321,17.34468527440663,0.8894360118573301,0.09452510669032821,3.896100000000004,0.0,0.0,,0.0,0.03939397175375991,0.538939864151954
base,test,temporary_blockage,medium,COLLISION,5,5,0,5,5,3,0.6,valid_episodes,35.586600000000004,35.586600000000004,0.0,8.409837022386034,0.700238010540775,0.06763994364154202,1.4097000000000033,0.0,0.0,,0.0,0.023297805283364947,0.30021357367207585
base,test,temporary_blockage,medium,TIMEOUT,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,medium,PLANNER_FAILURE,5,5,0,5,5,0,0.0,valid_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,medium,SIMULATOR_FAILURE,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
base,test,temporary_blockage,medium,INVALID_RESET,5,5,0,5,5,0,0.0,manifest_episodes,,,,,,,,,,,,,
bc_uniform,test,blind_corner,high,GOAL_REACHED,5,5,0,5,5,1,0.2,valid_episodes,140.09310000000002,140.09310000000002,0.7998165440841307,24.918644372800365,0.7904376659835236,0.25695269788447817,27.43920000000002,29.0,12.0,0.3333333333333333,56.60999999999999,0.42191585452816743,1.0258166835094094
bc_uniform,test,blind_corner,high,COLLISION,5,5,0,5,5,1,0.2,valid_episodes,102.36420000000001,102.36420000000001,0.0,18.12836142479588,0.7892682354178109,0.3913467794404685,34.66530000000002,16.0,6.0,0.3333333333333333,39.36060000000008,0.4196486662329215,0.8400008279275587
bc_uniform,test,blind_corner,high,TIMEOUT,5,5,0,5,5,2,0.4,valid_episodes,239.97645,239.97645,0.0,13.031653755441798,0.783511238571957,0.8312633937746943,196.28685000000002,9.0,7.5,0.19642857142857142,193.28985,0.8129469718299365,0.2731975050855484
bc_uniform,test,blind_corner,high,PLANNER_FAILURE,5,5,0,5,5,1,0.2,valid_episodes,114.0858,114.0858,0.0,13.634784789297017,0.800230375230752,0.6561587857559837,69.9633,9.0,2.0,0.5,66.76650000000001,0.5948628137769996,0.6209071438697596
